k,l,c,Generalization Height (k-Anonymity),Generalization Height (Entropy),Generalization Height (Recursive),Min. Avg. Group Size (Entropy),Min. Avg. Group Size (Recursive),Discernibility Metric (k-Anonymity),Discernibility Metric (Entropy),Discernibility Metric (Recursive)
2,2,3,9842.5,9842.5,9842.5,55.55555555555556,55.55555555555556,2825814,2825814,2825814
2,4,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
2,6,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
2,8,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
4,2,3,9842.5,9842.5,9842.5,55.55555555555556,55.55555555555556,2825814,2825814,2825814
4,4,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
4,6,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
4,8,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
6,2,3,9842.5,9842.5,9842.5,55.55555555555556,55.55555555555556,2825814,2825814,2825814
6,4,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
6,6,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
6,8,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
8,2,3,9842.5,9842.5,9842.5,55.55555555555556,55.55555555555556,2825814,2825814,2825814
8,4,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
8,6,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
8,8,3,9842.5,10067.25,10067.25,50000.0,50000.0,2825814,2500000000,2500000000
